,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13,2.591817617416382,0.030253072029669644,0.006301307678222656,0.003400440363918445,mle,0.01,6,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",0.8396016778034514,0.8264795270509377,0.8425800466939046,0.8506680980572,0.8470766144829424,0.8412811928176872,0.008310210632698465,11
21,2.263623905181885,0.028025047834187397,0.008001279830932618,0.004000641925624892,mle,0.1,6,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",0.835097524927663,0.828373821270218,0.838043546235304,0.8521767906278663,0.8468572234497672,0.8401097813021637,0.008464815281960051,12
18,3.058570909500122,0.015986444248061015,0.00659632682800293,0.005494924731268152,mle,0.1,4,200,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",0.8318839900913843,0.833934407460605,0.8374911406653882,0.8457381389143667,0.8484399730462444,0.8394975300355977,0.00650926121380685,13
12,1.4162896156311036,0.037893279481436073,0.0029795169830322266,0.0036602188175068728,mle,0.01,6,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",0.8344834405378962,0.829097191864943,0.8434659801550906,0.8428327982990078,0.8450132940518913,0.8389785409817657,0.006152359592679915,14
7,14.757603073120118,0.12848467099253622,0.008001375198364257,0.0006303753578627148,mle,0.001,6,500,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",0.8343741543329378,0.8287927517225587,0.8426973025931793,0.84265300592012,0.8450394120320311,0.8387113253201655,0.006142616650736441,15
2,3.251006078720093,0.15128775334978262,0.00840010643005371,0.0014972237835367904,mle,0.001,4,200,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",0.8371843710318698,0.822821041237328,0.842968294004836,0.8434112607354289,0.8464967953238368,0.8385763524666598,0.008432868405754756,16
1,1.6796228885650635,0.06038765443521808,0.006419038772583008,0.0038702207361723602,mle,0.001,4,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",0.8331850163408896,0.8230890526447262,0.8435180938881013,0.8394975193863086,0.8458098924461578,0.8370199149412366,0.008178067370082183,17
6,6.014046669006348,0.17262656781560376,0.008001565933227539,0.004000785272228249,mle,0.001,6,200,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",0.8291232123899333,0.8187566352338724,0.8419651046443759,0.83530496956558,0.8435350163759736,0.8337369876419469,0.009075899119508884,18
0,0.8209835529327393,0.040564769027692814,0.007502985000610351,0.001341145297807676,mle,0.001,4,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",0.8303643914319615,0.8178303045442245,0.8352215875927624,0.8403365504877844,0.8347201980787614,0.8316946064270988,0.007619256351722754,19
22,4.9696629524230955,0.1536180328172069,0.007365608215332031,0.0038842095080330393,mle,0.1,6,200,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",0.8234299215220966,0.8201305189533504,0.832462165429834,0.8422882097890437,0.8397270148715779,0.8316075661131805,0.008710090929836146,20
5,2.9651208877563477,0.09868205648833951,0.005400609970092773,0.0045436538512685885,mle,0.001,6,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",0.8282671371177586,0.8115593580216075,0.8321651171516719,0.8330458392395566,0.840400858759187,0.8290876620579564,0.009602510292873238,21
19,7.282604598999024,0.05252193318406837,0.008833074569702148,0.0042620561039078625,mle,0.1,4,500,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",0.8164408085097525,0.8224775703074585,0.8257368881847745,0.8371419786542151,0.8424485084021542,0.828849150811671,0.009570409562416083,22
4,1.3541486740112305,0.08792375909948807,0.008902454376220703,0.0016284791080496198,mle,0.001,6,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",0.8264300880534565,0.8098107787422719,0.8262345743350288,0.832686254481781,0.8361227336122734,0.8262568858449624,0.009046288397763268,23
23,12.553418064117432,0.4258344131464401,0.008203363418579102,0.003597905186634903,mle,0.1,6,500,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",0.8078462291055185,0.8053196361289785,0.8217970899691486,0.8306225506545484,0.829927548723092,0.8191026109162574,0.010712843067254015,24
24,0.8574341297149658,0.04581237359658391,0.0071136474609375,0.004813036873078354,mle,1.0,4,50,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",0.8021269177126917,0.7949062220279357,0.8131931126490453,0.8157128116401234,0.8225805609097414,0.8097039249879074,0.009904261245923482,25
25,1.8867637634277343,0.031557584006091884,0.008000469207763672,0.004000234812769143,mle,1.0,4,100,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",0.7947032619330128,0.7906622744020484,0.8129664179104477,0.8126146502126241,0.8131127931090322,0.804811879513433,0.009986794959039137,26
