,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
199,0.745145606994629,0.00582952172108601,0.007199811935424805,0.00039956613417482605,mle,1.0,4,50,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8102219030371156,0.7809982514207205,0.7888038855999333,0.8087634453431167,0.8014485031785582,0.7980471977158888,0.011408204769950988,195
206,1.811839485168457,0.0307274167240812,0.006801223754882813,0.0007496317305932236,mle,1.0,4,100,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8035606486396469,0.7674675784258623,0.8003366547152506,0.798559576419578,0.8059538547526888,0.7951756625906052,0.01408759779322553,196
193,0.8097567558288574,0.04221254545316922,0.007599782943725586,0.0008001686327985482,mle,1.0,4,50,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.7969358229771644,0.7869647578009533,0.7944478028850164,0.7963707996331193,0.7989516242771849,0.7947341615146877,0.004141461698745641,197
196,0.9043721199035645,0.03187246635558569,0.00790262222290039,0.002420976617740499,mle,1.0,4,50,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.7870610337434168,0.7836965798621952,0.8040992662386394,0.8007118735929291,0.7926571910634719,0.7936451889001305,0.0077785323318678426,198
194,0.7668517589569092,0.011042358831364002,0.007601165771484375,0.0007998508421648237,mle,1.0,4,50,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.807284185765732,0.7618601552904932,0.7981999916618027,0.7994819894938714,0.7921243842686183,0.7917901412961035,0.015724070116198845,199
192,0.8780676364898682,0.029201327205393098,0.008800315856933593,0.0011663103079366261,mle,1.0,4,50,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.803568454797144,0.7748652136805512,0.7904089885766697,0.7998103060118403,0.7891652171187689,0.7915636360369949,0.009980442599375689,200
207,1.7100188732147217,0.05834204657539009,0.0067024707794189455,0.0003984570786769289,mle,1.0,4,100,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.7982836861716522,0.7730203584587523,0.7816851496706412,0.8020798590844659,0.8014119380063623,0.7912961982783747,0.011779805551337662,201
231,1.3708584308624268,0.026662402259135607,0.006599903106689453,0.0004902715510748167,mle,1.0,6,50,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.7928141718187307,0.7661197152313743,0.7843507671141499,0.8076794796964896,0.8046766855238482,0.7911281638769185,0.015044645077190527,202
214,3.0597883224487306,0.023221820749847546,0.007399892807006836,0.0004898042090126899,mle,1.0,4,200,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.7971960282270655,0.7632990903224464,0.7939214541816059,0.7961493162678228,0.8008033890691029,0.7902738556136086,0.013669319838284797,203
239,2.50407190322876,0.01793435132313217,0.008002948760986329,0.0020281872168677367,mle,1.0,6,100,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.7980885322342263,0.763668581777306,0.7827951721837739,0.8028563537063287,0.8019107914270343,0.7898638862657339,0.014951505820359822,204
203,1.5993042945861817,0.10568206214276862,0.00699920654296875,0.0006313552196849257,mle,1.0,4,100,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.7845084202418866,0.7675144153708444,0.7872639247894605,0.803898628366547,0.805925124974535,0.7898221027486547,0.014070311373087153,205
215,3.0281813621520994,0.018183071166505273,0.007799863815307617,0.000748200928914986,mle,1.0,4,200,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.7948645891879514,0.7620891359104062,0.7868391978654214,0.8002089760693739,0.8006127278140818,0.7889229253694469,0.014308906090761781,206
238,2.4760611057281494,0.029738502301947974,0.007804965972900391,0.0006764588561441588,mle,1.0,6,100,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.7968707716646891,0.7494899977101938,0.7897758067205871,0.811012152922538,0.796352885253266,0.7887003228542547,0.020792989056315887,207
